"Practices","Tasks","Notional Implementation Examples","References"
"Define Security Requirements for Software Development (PO.1): Ensure that security requirements for software development are known at all times so that they can be taken into account throughout the SDLC and the duplication of effort can be minimized because the requirements information can be collected once and shared. This includes requirements from internal sources (e.g., the organization's policies, business objectives, and risk management strategy) and external sources (e.g., applicable laws and regulations).","PO.1.1: Identify and document all security requirements for the organization's software development infrastructures and processes, and maintain the requirements over time.","Example 1: Define policies for securing software development infrastructures and their components, including development endpoints, throughout the SDLC and maintaining that security.\nExample 2: Define policies for securing software development processes throughout the SDLC and maintaining that security, including for open-source and other third-party software components utilized by software being developed.\nExample 3: Review and update security requirements at least annually, or sooner if there are new requirements from internal or external sources, or if a major security incident targeting software development infrastructure has occurred.\nExample 4: Educate affected individuals on impending changes to requirements.","[BSAFSS]: SM.3, DE.1, IA.1, IA.2\n[BSIMM]: CP1.1, CP1.3, SR1.1, SR2.2, SE1.2, SE2.6\n[IEC62443]: SM-7, SM-9\n[NISTCSF]: ID.GV-3\n[OWASPASVS]: 1.1.1\n[OWASPMASVS]: 1.10\n[OWASPSAMM]: PC1-A, PC1-B, PC2-A\n[PCISSLC]: 2.1, 2.2\n[SCFPSSD]: Planning the Implementation and Deployment of Secure Development Practices\n[SP80053]: AT-03, CM-01, PL-08, PM-01, SA-01, SA-02, SA-08, SA-10, SA-15, SA-17, SR-01, SR-03, SR-05\n[SP800160]: 3.1.2, 3.2.1, 3.2.2, 3.3.1, 3.4.2, 3.4.3\n[SP800161]: AT-03, CM-01, PL-07, PL-08, SR-05\n[SP800181]: T0414; K0003, K0039, K0044, K0157, K0168, K0177, K0211, K0260, K0261, K0262, K0524; S0010, S0357, S0368; A0033, A0123, A0151"
"Define Security Requirements for Software Development (PO.1)","PO.1.2: Identify and document all security requirements for organization-developed software to meet, and maintain the requirements over time.","Example 1: Define policies that specify risk-based software architecture and design requirements, such as making code modular to facilitate code reuse and updates, isolating security components from other components during execution, avoiding undocumented commands and settings, using consensus standards where available, and providing features that will aid software acquirers with the secure deployment, operation, and maintenance of the software, including secure default configurations.\nExample 2: Define policies that specify the security requirements for the organization's software, and verify compliance at key points in the SDLC (e.g., classes of software flaws verified by gates, responses to vulnerabilities discovered in released software).\nExample 3: Analyze the risk of applicable technology stacks (e.g., languages, environments, deployment models), and recommend or require the use of stacks that will reduce risk compared to others.\nExample 4: Define policies that specify what needs to be archived for each software release (e.g., code, package files, third-party libraries, documentation, data inventory) and how long it needs to be retained based on the SDLC model, software end-of-life, and other factors.\nExample 5: Ensure that policies cover the entire software life cycle, including notifying users of the impending end of software support and the date of software end-of-life.\nExample 6: Review all security requirements at least annually, sooner if there are new requirements from internal or external sources, if a major vulnerability is discovered in released software, or if a major security incident targeting organization-developed software has occurred.\nExample 7: Establish and follow processes for handling requirement exception requests, including periodic reviews of all approved exceptions.","BSAFSS: SC.1-1, SC.2, PD.1-1, PD.1-2, PD.1-3, PD.2-2, SI, PA, CS, AA, LO, EE\nBSIMM: SM1.1, SM1.4, SM2.2, CP1.1, CP1.2, CP1.3, CP2.1, CP2.3, AM1.2, SFD1.1, SFD2.1, SFD3.2, SR1.1, SR1.3, SR2.2, SR3.3, SR3.4\nIEC62443: SR-3, SR-4, SR-5, SD-4\n[ISO27034]: 7.3.2\n[MSSDL]: 2, 5\nNISTCSF: ID.GV-3\nOWASPMAVS: 1.12\nOWASPSAMM: PC1-A, PC1-B, PC2-A, PC3-A, SR1-A, SR1-B, SR2-B, SA1-B, IR1-A\nPCISSLC: 2.1, 2.2, 2.3, 3.3\nSCFPSSD: Establish Coding Standards and Conventions\nSP80053: CA-03, CM-08, PM-01, PM-08, PM-18, PM-30, RA-03, SA-02, SA-04, SR-02\nSP800160: 3.1.2, 3.2.1, 3.3.1\nSP800161: CM-02, CM-07, PM-30, RA-03, RA-09, SC-07\nSP800181: T0414; K0003, K0039, K0044, K0157, K0168, K0177, K0211, K0260, K0261, K0262, K0524; S0010, S0357, S0368; A0033, A0123, A0151"
"Define Security Requirements for Software Development (PO.1)","PO.1.3: Communicate requirements to all third parties who will provide commercial software components to the organization for reuse by the organization's own software. [Formerly PW.3.1]","Example 1: Define a core set of security requirements for software components, and include it in acquisition documents, software contracts, and other agreements with third parties.\nExample 2: Define security-related criteria for selecting software, such as a third party's vulnerability disclosure program, product security incident response capabilities, or adherence to their organization-defined practices.\nExample 3: Require third parties to attest that their software complies with the organization's security requirements.\nExample 4: Require third parties to provide provenance data and integrity verification mechanisms for all components of their software.\nExample 5: Establish and follow processes to address risk when there are security requirements that third-party software components to be acquired do not meet, including periodic reviews of all approved exceptions to requirements.","BSAFSS: SM.1, SM.2, SM.2-1, SM.2-4\nBSIMM: CP2.4, CP3.2, SR2.5, SR3.2\n[IDASOAR]: 19, 21\nIEC62443: SM-9, SM-10\nMSSDL: 7\nNISTCSF: ID.SC-3\nOWASPSAMM: SR3-A\n[SCAGILE]: Tasks Requiring the Help of Security Experts 8\nSCFPSSD: Manage Security Risk Inherent in the Use of Third-Party Components\n[SCSIC]: Vendor Sourcing Integrity Controls\nSP80053: CA-03, SA-04, SA-21\nSP800160: 3.1.1, 3.1.2\nSP800181: T0203, T0415; K0039; S0374; A0056, A0161"
"Implement Roles and Responsibilities (PO.2): Ensure that everyone inside and outside of the organization involved in the SDLC is prepared to perform their SDLC-related roles and responsibilities throughout the SDLC.","PO.2.1: Create new roles and alter responsibilities for existing roles as needed to encompass all parts of the SDLC. Periodically review and maintain the defined roles and responsibilities, updating them as needed.","Example 1: Define SDLC-related roles and responsibilities for all members of the software development team.\nExample 2: Integrate the security roles into the software development team.\nExample 3: Define roles and responsibilities for cybersecurity staff, security champions, project managers and leads, senior management, software developers, software testers, software assurance leads and staff, product owners, operations, site reliability engineers and platform engineers, and others involved in the SDLC.\nExample 4: Conduct an annual review of all roles and responsibilities.\nExample 5: Educate affected individuals on impending changes to roles and responsibilities, and confirm that the individuals understand the changes and agree to follow them.\nExample 6: Implement and use tools and processes to promote communication and engagement among individuals with SDLC-related roles and responsibilities, such as creating messaging channels for team discussions.\nExample 7: Designate a group of individuals or a team as the code owner for each project.","BSAFSS: PD.2-1, PD.2-2\nBSIMM: SM1.1, SM2.3, SM2.7, CR1.7\nIEC62443: SM-2, SM-13\nNISTCSF: ID.AM-6, ID.GV-2\nPCISSLC: 1.2\nSCSIC: Vendor Software Development Integrity Controls\nSP80053: AC-02, AC-03, CM-05, CA-07\nSP800160: 3.2.1, 3.2.4, 3.3.1\nSP800181: K0233"
"Implement Roles and Responsibilities (PO.2)","PO.2.2: Provide role-based training for all personnel with responsibilities that contribute to secure development. Periodically review personnel proficiency and role-based training, and update the training as needed.","Example 1: Document the desired outcomes of training for each role.\nExample 2: Define the type of training or curriculum required to achieve the desired outcome for each role.\nExample 3: Create a training plan for each role.\nExample 4: Acquire or create training for each role; acquired training may need to be customized for the organization.\nExample 5: Measure outcome performance to identify areas where changes to training may be beneficial.","BSAFSS: PD.2-2\nBSIMM: T1.1, T1.7, T1.8, T2.5, T2.8, T2.9, T3.1, T3.2, T3.4\nIEC62443: SM-4\nMSSDL: 1\nNISTCSF: PR.AT\nOWASPSAMM: EG1-A, EG2-A\nPCISSLC: 1.3\nSCAGILE: Operational Security Tasks 14, 15; Tasks Requiring the Help of Security Experts 1\nSCFPSSD: Planning the Implementation and Deployment of Secure Development Practices\nSCSIC: Vendor Software Development Integrity Controls\nSP80053: AT-03, SA-16\nSP800160: 3.2.4, 3.2.6\nSP800161: AT-03\nSP800181: OV-TEA-001, OV-TEA-002; T0030, T0073, T0320; K0204, K0208, K0220, K0226, K0243, K0245, K0252; S0100, S0101; A0004, A0057"
"Implement Roles and Responsibilities (PO.2)","PO.2.3: Obtain upper management or authorizing official commitment to secure development, and convey that commitment to all with development-related roles and responsibilities.","Example 1: Appoint a single leader (e.g., a senior executive or C-suite level sponsor) or a leadership team to be responsible for the entire secure software development process, including being accountable for releasing software to production and delegating responsibilities as appropriate.\nExample 2: Increase authorizing officials' awareness of the risks of developing software without integrating security throughout the development life cycle and the risk mitigation provided by secure development practices.\nExample 3: Assist upper management in incorporating secure development support into their communications with personnel with development-related roles and responsibilities.\nExample 4: Educate all personnel with development-related roles and responsibilities on upper management's commitment to secure development and the importance of secure development to the organization.","BSIMM: SM1.3, SM2.7, CP2.5\nNISTCSF: ID.RM-1, ID.SC-1\nOWASPSAMM: SM1.A\nPCISSLC: 1.1\nSP80053: PM-03\nSP800181: T0001, T0004"
"Implement Supporting Toolchains (PO.3): Use automation to reduce human effort and improve the accuracy, reproducibility, usability, and comprehensiveness of security practices throughout the SDLC, as well as provide a way to document and demonstrate the use of these practices. Toolchains and tools may be used at different levels of the organization (e.g., organization-wide, project-specific) and may address a particular part of the SDLC, like a build pipeline.","PO.3.1: Specify which tools or tool types must or should be included in each toolchain to mitigate identified risks, as well as how the toolchain components are to be integrated with each other.","Example 1: Define categories of toolchains, and specify the mandatory tools or tool types to be used for each category.\nExample 2: Identify security tools to integrate into the developer toolchain.\nExample 3: Define what information is to be passed between tools and what data formats are to be used.\nExample 4: Evaluate tools' signing capabilities to create immutable records/logs for auditability within the toolchain.\nExample 5: Use automated technology for toolchain management and orchestration.","BSIMM: CR1.4, ST1.4, ST2.5, SE2.7\n[CNCFSSCP]: Securing Materials—Verification; Securing Build Pipelines—Verification, Automation, Secure Authentication/Access; Securing Artefacts—Verification; Securing Deployments—Verification\nMSSDL: 8\nOWASPSAMM: IR2-B, ST2-B\nSCAGILE: Tasks Requiring the Help of Security Experts 9\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: CM-08, SA-15, SA-17, SR-09\nSP800161: CM-08, SR-09\nSP800181: K0013, K0178"
"Implement Supporting Toolchains (PO.3)","PO.3.2: Follow recommended security practices to deploy, operate, and maintain tools and toolchains.","Example 1: Evaluate, select, and acquire tools, and assess the security of each tool.\nExample 2: Integrate tools with other tools and existing software development processes and workflows.\nExample 3: Use code-based configuration for toolchains (e.g., pipelines as code, toolchains as code).\nExample 4: Implement the technologies and processes needed for reproducible builds.\nExample 5: Update, upgrade, or replace tools as needed to address tool vulnerabilities or add new tool capabilities.\nExample 6: Continuously monitor tools and tool logs for potential operational and security issues, including policy violations and anomalous behavior.\nExample 7: Regularly verify the integrity and check the provenance of each tool to identify potential problems.\nExample 8: See PW.6 regarding compiler, interpreter, and build tools.\nExample 9: See PO.5 regarding implementing and maintaining secure environments.","BSAFSS: DE.2\nBSIMM: SR1.1, SR1.3, SR3.4\nCNCFSSCP: Securing Build Pipelines—Verification, Automation, Controlled Environments, Secure Authentication/Access; Securing Artefacts—Verification, Automation, Controlled Environments, Encryption; Securing Deployments—Verification, Automation\nIEC62443: SM-7\n[IR8397]: 2.2\nOWASPASVS: 1.14.3, 1.14.4, 14.1, 14.2\nOWASPMASVS: 7.9\n[OWASPSCVS]: 3, 5\nSCAGILE: Tasks Requiring the Help of Security Experts 9\nSCFPSSD: Use Current Compiler and Toolchain Versions and Secure Compiler Options\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: CM-06, CM-08, CM-10, CM-11, CM-14, SA-15, SA-17, SR-09\nSP800161: CM-06, CM-08, SR-09\nSP800181: K0013, K0178"
"Implement Supporting Toolchains (PO.3)","PO.3.3: Configure tools to generate artifacts of their support of secure software development practices as defined by the organization.","Example 1: Use existing tooling (e.g., workflow tracking, issue tracking, value stream mapping) to create an audit trail of the secure development-related actions that are performed for continuous improvement purposes.\nExample 2: Determine how often the collected information should be audited, and implement the necessary processes.\nExample 3: Establish and enforce security and retention policies for artifact data.\nExample 4: Assign responsibility for creating any needed artifacts that tools cannot generate.","BSAFSS: PD.1-5\nBSIMM: SM1.4, SM3.4, SR1.3\nCNCFSSCP: Securing Build Pipelines—Verification, Automation, Controlled Environments; Securing Artefacts—Verification\nIEC62443: SM-12, SI-2\nMSSDL: 8\nOWASPSAMM: PC3-B\nOWASPSCVS: 3.13, 3.14\nPCISSLC: 2.5\nSCAGILE: Tasks Requiring the Help of Security Experts 9\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: AC-02, AU-03, AU-06, AU-07, AU-09, AU-12, CM-06, SA-15, SI-06, SI-12\nSP800161: AU-06, CM-06\nSP800181: K0013; T0024"
"Define and Use Criteria for Software Security Checks (PO.4): Help ensure that the software resulting from the SDLC meets the organization's expectations by defining and using criteria for checking the software's security during development.","PO.4.1: Define criteria for software security checks and track them throughout the SDLC.","Example 1: Ensure that the criteria adequately indicate how effectively security risk is being managed.\nExample 2: Define key performance indicators (KPIs), key risk indicators (KRIs), vulnerability severity scores, and other measures for software security.\nExample 3: Add software security criteria to existing checks (e.g., the Definition of Done in agile SDLC methodologies).\nExample 4: Review the artifacts generated as part of the software development workflow system to determine whether they meet the criteria.\nExample 5: Record security check approvals, rejections, and exception requests as part of the workflow and tracking system.\nExample 6: Analyze collected data in the context of the security successes and failures of each development project, and use the results to improve the SDLC.","BSAFSS: TV.2-1, TV.5-1\nBSIMM: SM1.4, SM2.1, SM2.2, SM2.6, SM3.3, CP2.2\nIEC62443: SI-1, SI-2, SVV-3\nISO27034: 7.3.5\nMSSDL: 3\nOWASPSAMM: PC3-A, DR3-B, IR3-B, ST3-B\nPCISSLC: 3.3\nSP80053: CM-09, SA-11, SA-15, SA-15(01), SI-06\nSP800160: 3.2.1, 3.2.5, 3.3.1\nSP800161: SA-11\nSP800181: K0153, K0165"
"Define and Use Criteria for Software Security Checks (PO.4)","PO.4.2: Implement processes and mechanisms to gather and safeguard necessary information in support of the criteria.","Example 1: Use the toolchain to automatically gather information that informs security decision-making.\nExample 2: Deploy additional tools if needed to support the generation and collection of information supporting the criteria.\nExample 3: Automate decision-making processes utilizing the criteria, and periodically review these processes.\nExample 4: Only allow authorized personnel to access the gathered information, and prevent any alteration or deletion of the information.","BSAFSS: PD.1-4, PD.1-5\nBSIMM: SM1.4, SM2.1, SM2.2, SM3.4\nIEC62443: SI-1, SVV-1, SVV-2, SVV-3, SVV-4\nOWASPSAMM: PC3-B\nPCISSLC: 2.5\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: SA-11, SA-15, SA-15(01), SA-15(11), SI-12\nSP800160: 3.2.5, 3.3.7\nSP800161: SA-11\nSP800181: T0349; K0153"
"Implement and Maintain Secure Environments for Software Development (PO.5): Ensure that all components of the environments for software development are strongly protected from internal and external threats to prevent compromises of the environments or the software being developed or maintained within them. Examples of environments for software development include development, build, test, and distribution environments.","PO.5.1: Separate and protect each environment involved in software development.","Example 1: Use multi-factor, risk-based authentication and conditional access for each environment.\nExample 2: Use network segmentation and access controls to separate the environments from each other and production environments and to separate components from each other within each non-production environment in order to reduce attack surfaces and attackers' lateral movement and privilege/access escalation.\nExample 3: Enforce authentication, and tightly restrict connections entering and exiting each software development environment, including minimizing access to the internet to only what is necessary.\nExample 4: Minimize direct human access to toolchain systems, such as build services. Continuously monitor and audit all access attempts and all use of privileged access.\nExample 5: Minimize the use of production-environment software and services from non-production environments.\nExample 6: Regularly log, monitor, and audit trust relationships for authorization and access between the environments and between the components within each environment.\nExample 7: Continuously log and monitor operations and alerts across all components of the development environment to detect, respond, and recover from attempted and actual cyber incidents.\nExample 8: Configure security controls and other tools involved in separating and protecting the environments to generate artifacts for their activities.\nExample 9: Continuously monitor all software deployed in each environment for new vulnerabilities, and respond to vulnerabilities appropriately following a risk-based approach.\nExample 10: Configure and implement measures to secure the environments' hosting infrastructures following a zero trust architecture.","BSAFSS: DE.1, IA.1, IA.2\nCNCFSSCP: Securing Build Pipelines—Controlled Environments\nIEC62443: SM-7\nNISTCSF: PR.AC-5, PR.DS-7\nSCAGILE: Tasks Requiring the Help of Security Experts 11\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: AC-04, CM-02, CM-12, PL-08, SA-03, SA-03(01), SA-08, SA-15, SA-17, SC-07, SC-07(01), SC-07(29)\nSP800161: AC-04, CM-02, CM-12, PL-08, SA-03, SC-07\nSP800181: OM-NET-001, SP-SYS-001; T0019, T0023, T0144, T0160, T0262, T0438, T0484, T0485, T0553; K0001, K0005, K0007, K0033, K0049, K0056, K0061, K0071, K0104, K0112, K0179, K0326, K0487; S0007, S0084, S0121; A0048"
"Implement and Maintain Secure Environments for Software Development (PO.5)","PO.5.2: Secure and harden development endpoints (e.g., for software designers, developers, testers, builders) to perform development-related tasks using a risk-based approach.","Example 1: Configure each development endpoint based on approved hardening guides and checklists (e.g., enable FIPS-compliant encryption of all sensitive data at rest and in transit).\nExample 2: Configure development endpoints and resources to provide the least functionality needed by users and services and to enforce the principle of least privilege.\nExample 3: Continuously monitor the security posture of all development endpoints, including monitoring and auditing all use of privileged access.\nExample 4: Configure security controls and other tools involved in securing and hardening development endpoints to generate artifacts for their activities.\nExample 5: Require multi-factor authentication for all access to development endpoints and resources.\nExample 6: Provide dedicated development endpoints on non-production networks for performing all development-related tasks. Provide separate endpoints on production networks for all other tasks.\nExample 7: Configure each development endpoint following a zero trust architecture.","BSAFSS: DE.1-1, IA.1, IA.2\nIEC62443: SM-7\nNISTCSF: PR.AC-4, PR.AC-7, PR.IP-1, PR.IP-3, PR.IP-12, PR.PT-1, PR.PT-3, DE.CM\nSCAGILE: Tasks Requiring the Help of Security Experts 11\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: CM-02, CM-03, CM-04, CM-06, CM-14, SA-15, SA-17\nSP800161: CM-02, CM-03, CM-06\nSP800181: OM-ADM-001, SP-SYS-001; T0484, T0485, T0489, T0553; K0005, K0007, K0077, K0088, K0130, K0167, K0205, K0275; S0076, S0097, S0121, S0158; A0155"
