"Practices","Tasks","Notional Implementation Examples","References"
"Create Source Code by Adhering to Secure Coding Practices (PW.5): Decrease the number of security vulnerabilities in the software, and reduce costs by minimizing vulnerabilities introduced during source code creation that meet or exceed organization-defined vulnerability severity criteria.","PW.5.1: Follow all secure coding practices that are appropriate to the development languages and environment to meet the organization's requirements.","Example 1: Validate all inputs, and validate and properly encode all outputs.\nExample 2: Avoid using unsafe functions and calls.\nExample 3: Detect errors, and handle them gracefully.\nExample 4: Provide logging and tracing capabilities.\nExample 5: Use development environments with automated features that encourage or require the use of secure coding practices with just-in-time training-in-place.\nExample 6: Follow procedures for manually ensuring compliance with secure coding practices when automated methods are insufficient or unavailable.\nExample 7: Use tools (e.g., linters, formatters) to standardize the style and formatting of the source code.\nExample 8: Check for other vulnerabilities that are common to the development languages and environment.\nExample 9: Have the developer review their own human-readable code to complement (not replace) code review performed by other people or tools. See PW.7.\nExample 10: When designing interfaces that accept input, use well-structured input formats that can be easily validated and sanitized.\nExample 11: Where appropriate, use formal methods and provers to validate the correctness of code. While particular attention should be given to high-risk code, other sections of code may also benefit from these techniques while balancing cost and risk trade-offs.","BSAFSS: SC.2, SC.3, LO.1, EE.1\nBSIMM: SR3.3, CR1.4, CR3.5\nIDASoar: 2\nIEC62443: SI-1, SI-2\nISO27034: 7.3.5\nMSSDL: 9\nOWASPASVS: 1.1.7, 1.5, 1.7, 5, 7\nOWASPMASVS: 7.6\nSCFPSSD: Establish Log Requirements and Audit Practices, Use Code Analysis Tools to Find Security Issues Early, Handle Data Safely, Handle Errors, Use Safe Functions Only\nSP80053: SA-15, SI-03, SI-10, SI-10(03)\nSP800181: SP-DEV-001; T0013, T0077, T0176; K0009, K0016, K0039, K0070, K0140, K0624; S0019, S0060, S0149, S0172, S0266; A0036, A0047"
"Create Source Code by Adhering to Secure Coding Practices (PW.5)","PW.5.2: Moved to PW.5.1 as example","N/A","N/A"
"Configure the Compilation, Interpreter, and Build Processes to Improve Executable Security (PW.6): Decrease the number of security vulnerabilities in the software and reduce costs by eliminating vulnerabilities before testing occurs.","PW.6.1: Use compiler, interpreter, and build tools that offer features to improve executable security.","Example 1: Use up-to-date versions of compiler, interpreter, and build tools.\nExample 2: Follow change management processes when deploying or updating compiler, interpreter, and build tools, and audit all unexpected changes to tools.\nExample 3: Regularly validate the authenticity and integrity of compiler, interpreter, and build tools. See PO.3.","BSAFSS: DE.2-1\nBSIMM: SE2.4\nCNCFSSCP: Securing Build Pipelines—Verification, Automation\nIEC62443: SI-2\nMSSDL: 8\nSCAGILE: Operational Security Task 3\nSCFPSSD: Use Current Compiler and Toolchain Versions and Secure Compiler Options\nSCSIC: Vendor Software Development Integrity Controls\nSP80053: CM-09, SA-15"
"Configure the Compilation, Interpreter, and Build Processes to Improve Executable Security (PW.6)","PW.6.2: Determine which compiler, interpreter, and build tool features should be used and how each should be configured, then implement and use the approved configurations.","Example 1: Enable compiler features that produce warnings for poorly secured code during the compilation process.\nExample 2: Implement the ""clean build"" concept, where all compiler warnings are treated as errors and eliminated except those determined to be false positives or irrelevant.\nExample 3: Perform all builds in a dedicated, highly controlled build environment.\nExample 4: Enable compiler features that randomize or obfuscate execution characteristics, such as memory location usage, that would otherwise be predictable and thus potentially exploitable.\nExample 5: Test to ensure that the features are working as expected and are not inadvertently causing any operational issues or other problems.\nExample 6: Continuously verify that the approved configurations are being used.\nExample 7: Make the approved tool configurations available as configuration-as-code so developers can readily use them.","BSAFSS: DE.2-3, DE.2-4, DE.2-5\nBSIMM: SE2.4, SE3.2\nCNCFSSCP: Securing Build Pipelines—Verification, Automation\nIEC62443: SI-2\nIR8397: 2.5\nMSSDL: 8\nOWASPASVS: 14.1, 14.2.1\nOWASPMASVS: 7.2\nPCISSLC: 3.2\nSCAGILE: Operational Security Task 8\nSCFPSSD: Use Current Compiler and Toolchain Versions and Secure Compiler Options\nSCSIC: Vendor Software Development Integrity Controls\nSP80053: CM-02, CM-09, SA-15, SC-38, SR-09\nSP800161: SR-09\nSP800181: K0039, K0070"
"Review and/or Analyze Human-Readable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements (PW.7): Help identify vulnerabilities so that they can be corrected before the software is released to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities. Human-readable code includes source code, scripts, and any other form of code that an organization deems human-readable.","PW.7.1: Determine whether code review (a person looks directly at the code to find issues) and/or code analysis (tools are used to find issues in code, either in a fully automated way or in conjunction with a person) should be used, as defined by the organization.","Example 1: Follow the organization's policies or guidelines for when code review should be performed and how it should be conducted. This may include third-party code and reusable code modules written in-house.\nExample 2: Follow the organization's policies or guidelines for when code analysis should be performed and how it should be conducted.\nExample 3: Choose code review and/or analysis methods based on the stage of the software.","BSIMM: CR1.5\nIEC62443: SM-5, SI-1, SVV-1\nNISTLABEL: 2.2.2.2\nSCSIC: Peer Reviews and Security Testing\nSP80053: CA-02, CM-09, RA-05, SA-11\nSP800181: SP-DEV-002; K0013, K0039, K0070, K0153, K0165; S0174"
"Review and/or Analyze Human-Readable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements (PW.7)","PW.7.2: Perform the code review and/or code analysis based on the organization's secure coding standards, and record and triage all discovered issues and recommended remediations in the development team's workflow or issue tracking system.","Example 1: Perform peer review of code, and review any existing code review, analysis, or testing results as part of the peer review.\nExample 2: Use expert reviewers to check code for backdoors and other malicious content.\nExample 3: Use peer reviewing tools that facilitate the peer review process, and document all discussions and other feedback.\nExample 4: Use a static analysis tool to automatically check code for vulnerabilities and compliance with the organization's secure coding standards with a human reviewing the issues reported by the tool and remediating them as necessary.\nExample 5: Use review checklists to verify that the code complies with the requirements.\nExample 6: Use automated tools to identify and remediate documented and verified unsafe software practices on a continuous basis as human-readable code is checked into the code repository.\nExample 7: Identify and document the root causes of discovered issues.\nExample 8: Document lessons learned from code review and analysis in a wiki that developers can access and search.","BSAFSS: TV.2, PD.1-4\nBSIMM: CR1.2, CR1.4, CR1.6, CR2.6, CR2.7, CR3.4, CR3.5\nIDASoar: 3, 4, 5, 14, 15, 48\nIEC62443: SI-1, SVV-1, SVV-2\nIR8397: 2.3, 2.4\nISO27034: 7.3.6\nMSSDL: 9, 10\nNISTLABEL: 2.2.2.2\nOWASPASVS: 1.1.7, 10\nOWASPMASVS: 7.5\nOWASPSAMM: IR1-B, IR2-A, IR2-B, IR3-A\nPCISSLC: 3.2, 4.1\nSCAGILE: Operational Security Tasks 4, 7; Tasks Requiring the Help of Security Experts 10\nSCFPSSD: Use Code Analysis Tools to Find Security Issues Early, Use Static Analysis Security Testing Tools, Perform Manual Verification of Security Features/Mitigations\nSCSIC: Peer Reviews and Security Testing\nSP80053: CA-02, CM-09, RA-05, SA-11, SA-11(01), SA-11(04), SA-15, SA-15(07), SI-02\nSP800161: CA-02\nSP800181: SP-DEV-001, SP-DEV-002; T0013, T0111, T0176, T0267, T0516; K0009, K0039, K0070, K0140, K0624; S0019, S0060, S0078, S0137, S0149, S0167, S0174, S0242, S0266; A0007, A0015, A0036, A0044, A0047"
"Test Executable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements (PW.8): Help identify vulnerabilities so that they can be corrected before the software is released in order to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities and improves traceability and repeatability. Executable code includes binaries, directly executed bytecode and source code, and any other form of code that an organization deems executable.","PW.8.1: Determine whether executable code testing should be performed to find vulnerabilities not identified by previous reviews, analysis, or testing and, if so, which types of testing should be used.","Example 1: Follow the organization's policies or guidelines for when code testing should be performed and how it should be conducted (e.g., within a sandboxed environment). This may include third-party executable code and reusable executable code modules written in-house.\nExample 2: Choose testing methods based on the stage of the software.","BSAFSS: TV.3\nBSIMM: PT2.3\nIEC62443: SVV-1, SVV-2, SVV-3, SVV-4, SVV-5\nNISTLABEL: 2.2.2.2\nSCSIC: Peer Reviews and Security Testing\nSP80053: RA-05, SA-11, SA-15\nSP800181: SP-DEV-001, SP-DEV-002; T0456; K0013, K0039, K0070, K0153, K0165, K0342, K0367, K0536, K0624; S0001, S0015, S0026, S0061, S0083, S0112, S0135"
"Test Executable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements (PW.8)","PW.8.2: Scope the testing, design the tests, perform the testing, and document the results, including recording and triaging all discovered issues and recommended remediations in the development team's workflow or issue tracking system.","Example 1: Perform robust functional testing of security features, including failure path testing.\nExample 2: Integrate dynamic vulnerability testing into the project's automated test suite.\nExample 3: Incorporate tests for previously reported vulnerabilities into the project's test suite to ensure that errors are not reintroduced.\nExample 4: Take into consideration the infrastructures and technology stacks that the software will be used with in production when developing test plans.\nExample 5: Use fuzz testing tools to find issues with input handling.\nExample 6: If resources are available, use penetration testing to simulate how an attacker might attempt to compromise the software in high-risk scenarios.\nExample 7: Identify and record the root causes of discovered issues.\nExample 8: Document lessons learned from code testing in a wiki that developers can access and search.\nExample 9: Use source code, design records, and other resources when developing test plans.\nExample 10: Identify third-party dependencies, and conduct robust tests to exercise the functionality that uses these dependencies.","BSAFSS: TV.3, TV.5, PD.1-4\nBSIMM: ST1.1, ST1.3, ST1.4, ST2.4, ST2.5, ST2.6, ST3.3, ST3.4, ST3.5, ST3.6, PT1.1, PT1.2, PT1.3, PT3.1\nIDASoar: 7, 8, 10, 11, 38, 39, 43, 44, 48, 55, 56, 57\nIEC62443: SM-5, SM-13, SI-1, SVV-1, SVV-2, SVV-3, SVV-4, SVV-5\nIR8397: 2.6, 2.7, 2.8, 2.9, 2.10, 2.11\nISO27034: 7.3.6\nMSSDL: 10, 11\nNISTLABEL: 2.2.2.2\nOWASPMASVS: 7.5\nOWASPSAMM: ST1-A, ST1-B, ST2-A, ST2-B, ST3-A\nPCISSLC: 4.1\nSCAGILE: Operational Security Tasks 10, 11; Tasks Requiring the Help of Security Experts 4, 5, 6, 7\nSCFPSSD: Perform Dynamic Analysis Security Testing, Fuzz Parsers, Network Vulnerability Scanning, Perform Automated Functional Testing of Security Features/Mitigations, Perform Penetration Testing\nSCSIC: Peer Reviews and Security Testing\nSP80053: CA-02, CM-03, CM-09, RA-05, RA-05(03), SA-11, SA-11(05), SA-11(08), SA-15, SA-15(07), SI-02\nSP800161: CA-02, CM-03\nSP800181: SP-DEV-001, SP-DEV-002; T0013, T0028, T0169, T0176, T0253, T0266, T0456, T0516; K0009, K0039, K0070, K0272, K0339, K0342, K0362, K0536, K0624; S0001, S0015, S0046, S0051, S0078, S0081, S0083, S0135, S0137, S0167, S0242; A0015"
"Configure Software to Have Secure Settings by Default (PW.9): Help improve the security of the software at the time of installation to reduce the likelihood of the software being deployed with weak security settings, putting it at greater risk of compromise.","PW.9.1: Define a secure baseline by determining how to configure each setting that has an effect on security or a security-related setting so that the default settings are secure and do not weaken the security functions provided by the platform, network infrastructure, or services.","Example 1: Conduct testing to ensure that the settings, including the default settings, are working as expected and are not inadvertently causing any security weaknesses, operational issues, or other problems.\nExample 2: Prohibit the use of default passwords or hard-coded secrets and protection mechanisms.\nExample 3: Make available a robust range of settings with secure default values that enable software administrators to control logging capabilities (e.g., changes to configuration, security events, safety events) and how long log entries are retained.","BSAFSS: CF.1\nBSIMM: SE2.2\nIDASoar: 23\nIEC62443: SD-4, SVV-1, SG-1\nISO27034: 7.3.5\nSCAGILE: Tasks Requiring the Help of Security Experts 12\nSCSIC: Vendor Software Delivery Integrity Controls, Vendor Software Development Integrity Controls\nSP80053: CM-02, CM-06, CM-09\nSP800181: SP-DEV-002; K0009, K0039, K0073, K0153, K0165, K0275, K0531; S0167"
"Configure Software to Have Secure Settings by Default (PW.9)","PW.9.2: Implement the default settings (or groups of default settings, if applicable), and document each setting for software administrators.","Example 1: Verify that the approved configuration is in place for the software.\nExample 2: Document each setting's purpose, options, default value, security relevance, potential operational impact, and relationships with other settings.\nExample 3: Use authoritative programmatic technical mechanisms to record how each setting can be implemented and assessed by software administrators.\nExample 4: Store the default configuration in a usable format and follow change control practices for modifying it (e.g., configuration as code).","BSAFSS: CF.1\nBSIMM: SE2.2\nIDASoar: 23\nIEC62443: SG-3\nOWASPSAMM: OE1-A\nPCISSLC: 8.1, 8.2\nSCAGILE: Tasks Requiring the Help of Security Experts 12\nSCFPSSD: Verify Secure Configurations and Use of Platform Mitigation\nSCSIC: Vendor Software Delivery Integrity Controls, Vendor Software Development Integrity Controls\nSP80053: AC-02, AC-03, CM-02, CM-06, SA-05, SA-08, SA-08(23)\nSP800161: CM-02, CM-06\nSP800181: SP-DEV-001; K0009, K0039, K0073, K0153, K0165, K0275, K0531"
"Identify and Confirm Vulnerabilities on an Ongoing Basis (RV.1): Help ensure that vulnerabilities are identified more quickly so that they can be remediated more quickly in accordance with risk, reducing the window of opportunity for attackers.","RV.1.1: Gather information from software acquirers, users, and public sources on potential vulnerabilities in the software and third-party components that the software uses, and investigate all credible reports.","Example 1: Monitor vulnerability databases, security mailing lists, and other sources of vulnerability reports through manual or automated means.\nExample 2: Use threat intelligence sources to better understand how vulnerabilities in general are being exploited.\nExample 3: Automatically review provenance and software composition data for all software components to identify any new vulnerabilities they have.","BSAFSS: VM.1-3, VM.3\nBSIMM: AM1.5, CMVM1.2, CMVM2.1, CMVM3.4, CMVM3.7\nCNCFSSCP: Securing Materials—Verification\nIEC62443: DM-1, DM-2, DM-3\n[ISO29147]: 6.2.1, 6.2.2, 6.2.4, 6.3, 6.5\n[ISO30111]: 7.1.3\nOWASPSAMM: IM1-A, IM2-B, EH1-B\nOWASPSCVS: 4\nPCISSLC: 3.4, 4.1, 9.1\nSCAGILE: Operational Security Task 5\nSCFPSSD: Vulnerability Response and Disclosure\nSCTPC: MONITOR1\nSP80053: RA-05, SA-10, SI-05, SR-03, SR-04\nSP800161: SR-04\nSP800181: K0009, K0038, K0040, K0070, K0161, K0362; S0078"
"Identify and Confirm Vulnerabilities on an Ongoing Basis (RV.1)","RV.1.2: Review, analyze, and/or test the software's code and its default and other common configurations to identify or confirm the presence of previously undetected vulnerabilities.","Example 1: Configure the toolchain to perform automated code analysis and testing on a regular or continuous basis for all supported releases.\nExample 2: See PW.7 and PW.8.\nExample 3: Monitor customer issues to determine whether default configurations should be updated and whether alerts should be added to the software to warn customers about insecure configurations.","BSAFSS: VM.1-2, VM.2-1\nBSIMM: CMVM3.1\nIEC62443: SI-1, SVV-2, SVV-3, SVV-4, DM-1, DM-2\nISO27034: 7.3.6\nISO29147: 6.4\nISO30111: 7.1.4\nPCISSLC: 3.4, 4.1\nSCAGILE: Operational Security Tasks 10, 11\nSP80053: CM-06, RA-05, SA-11, SI-07\nSP800181: SP-DEV-002; K0009, K0039, K0153"
"Identify and Confirm Vulnerabilities on an Ongoing Basis (RV.1)","RV.1.3: Have a policy that addresses vulnerability disclosure and remediation, and implement the roles, responsibilities, and processes needed to support that policy.","Example 1: Establish a vulnerability disclosure program, and make it easy for security researchers to learn about the program and report possible vulnerabilities.\nExample 2: Have a Product Security Incident Response Team (PSIRT) and processes in place to handle the responses to vulnerability reports and incidents, including communications plans for all stakeholders.\nExample 3: Have a security response playbook to handle a generic reported vulnerability, a report of zero days, a vulnerability being exploited in the wild, and a major ongoing incident involving multiple parties and open-source software components.\nExample 4: Periodically conduct exercises of the product security incident response processes.","BSAFSS: VM.1-1, VM.2\nBSIMM: CMVM1.1, CMVM2.1, CMVM3.3, CMVM3.7\nIEC62443: DM-1, DM-2, DM-3, DM-4, DM-5\nISO29147: All\nISO30111: All\nMSSDL: 12\nNISTLABEL: 2.2.2.3\nOWASPMASVS: 1.11\nOWASPSAMM: IM1-A, IM1-B, IM2-A, IM2-B\nPCISSLC: 9.2, 9.3\nSCFPSSD: Vulnerability Response and Disclosure\nSP80053: AC-02, AC-03, CM-09, IR-01, IR-08, RA-05, RA-05(11), SA-15, SA-15(10)\nSP800160: 3.3.8\nSP800181: K0041, K0042, K0151, K0292, K0317; S0054; A0025\n[SP800216]: All"
"Assess, Prioritize, and Remediate Vulnerabilities (RV.2): Help ensure that vulnerabilities are remediated in accordance with risk to reduce the window of opportunity for attackers.","RV.2.1: Analyze each vulnerability to gather sufficient information about risk and plan its remediation or other risk response.","Example 1: Use existing issue tracking software to record each vulnerability.\nExample 2: Perform risk calculations for each vulnerability based on estimates of its exploitability, the potential impact if exploited, and any other relevant characteristics.","BSAFSS: VM.2\nBSIMM: CMVM1.2, CMVM2.2\nIEC62443: DM-2, DM-3\nISO30111: 7.1.4\nNISTLABEL: 2.2.2.2\nPCISSLC: 3.4, 4.2\nSCAGILE: Operational Security Task 1, Tasks Requiring the Help of Security Experts 10\nSP80053: CM-03, CM-04, RA-05, RA-05(04), SA-10, SA-15(07)\nSP800160: 3.3.8\nSP800161: CM-03\nSP800181: K0009, K0039, K0070, K0161, K0165; S0078"
"Assess, Prioritize, and Remediate Vulnerabilities (RV.2)","RV.2.2: Plan and implement risk responses for vulnerabilities.","Example 1: Make a risk-based decision as to whether each vulnerability will be remediated or if the risk will be addressed through other means (e.g., risk acceptance, risk transference), and prioritize any actions to be taken.\nExample 2: If a remediation for a vulnerability is not yet available, determine how the vulnerability can be temporarily mitigated until the permanent solution is available, and add that temporary mitigation to the plan.\nExample 3: Develop and release security advisories that provide the necessary information to software acquirers, including descriptions of what the vulnerabilities are, how to find instances of the vulnerable software, and how to address them (e.g., where to get patches and what the patches change in the software, what configuration settings may need to be changed, how temporary workarounds could be implemented).\nExample 4: Deliver remediations to acquirers via an automated and trusted delivery mechanism. A single remediation could address multiple vulnerabilities.\nExample 5: Update and periodically review records of design decisions, risk responses, and approved exceptions as needed. See PW.1.2.","BSAFSS: VM.1-1, VM-2\nBSIMM: CMVM2.1\nIEC62443: DM-4\nISO30111: 7.1.4, 7.1.5\nNISTLABEL: 2.2.2.2\nPCISSLC: 4.1, 4.2, 10.1\nSCAGILE: Operational Security Task 2\nSCFPSSD: Fix the Vulnerability, Identify Mitigating Factors or Workarounds\nSCTPC: MITIGATE\nSP80053: CM-03, CM-04, CM-05, CM-06, SA-05, SA-10, SA-11, SA-15, SA-15(07)\nSP800160: 3.3.8\nSP800161: CM-03, CM-06\nSP800181: T0163, T0229, T0264; K0009, K0070"
"Analyze Vulnerabilities to Identify Their Root Causes (RV.3): Help reduce the frequency of vulnerabilities in the future.","RV.3.1: Analyze identified vulnerabilities to determine their root causes.","Example 1: Record the root cause of discovered issues.\nExample 2: Record lessons learned through root cause analysis in a wiki that developers can access and search.","BSAFSS: VM.2-1\nBSIMM: CMVM3.1, CMVM3.2\nIEC62443: DM-3\nISO30111: 7.1.4\nOWASPSAMM: IM3-A\nPCISSLC: 4.2\nSCFPSSD: Secure Development Lifecycle Feedback\nSP80053: RA-05, SA-11, SA-11(02)\nSP800181: T0047, K0009, K0039, K0070, K0343"
"Analyze Vulnerabilities to Identify Their Root Causes (RV.3)","RV.3.2: Analyze the root causes over time to identify patterns, such as a particular secure coding practice not being followed consistently.","Example 1: Record lessons learned through root cause analysis in a wiki that developers can access and search.\nExample 2: Add mechanisms to the toolchain to automatically detect future instances of the root cause.\nExample 3: Update manual processes to detect future instances of the root cause.","BSAFSS: VM.2-1, PD.1-3\nBSIMM: CP3.3, CMVM3.2\nIEC62443: DM-4\nISO30111: 7.1.7\nOWASPSAMM: IM3-B\nPCISSLC: 2.6, 4.2\nSCFPSSD: Secure Development Lifecycle Feedback\nSP80053: CA-07, CA-07(03), RA-05, RA-05(06), RA-05(08)\nSP800160: 3.3.8\nSP800181: T0111, K0009, K0039, K0070, K0343"
"Analyze Vulnerabilities to Identify Their Root Causes (RV.3)","RV.3.3: Review software for similar vulnerabilities to eradicate a class of vulnerabilities and proactively remediate them rather than waiting for external reports.","Example 1: See PW.7 and PW.8.","BSAFSS: VM.2\nBSIMM: CR3.3, CMVM3.1\nIEC62443: SI-1, DM-3, DM-4\nISO30111: 7.1.4\nPCISSLC: 4.2\nSP80053: RA-05, RA-05(02), RA-05(06), RA-05(10), SA-11, SI-02, SI-02(07)\nSP800181: SP-DEV-001, SP-DEV-002; K0009, K0039, K0070"
"Analyze Vulnerabilities to Identify Their Root Causes (RV.3)","RV.3.4: Review the SDLC process, and update it if appropriate to prevent (or reduce the likelihood of) the root cause recurring in updates to the software or in new software that is created.","Example 1: Record lessons learned through root cause analysis in a wiki that developers can access and search.\nExample 2: Plan and implement changes to the appropriate SDLC practices.","BSAFSS: PD.1-3\nBSIMM: CP3.3, CMVM3.2\nIEC62443: DM-6\nISO30111: 7.1.7\nMSSDL: 2\nPCISSLC: 2.6, 4.2\nSCFPSSD: Secure Development Lifecycle Feedback\nSP80053: AU-02, RA-01, SA-03, SA-15"
